"","x"
"254","GLAN"
"255","pl"
"256","ga"
"257","da"
"258","PHILIP"
"259","en"
"260","fr"
"261","nl"
"262","TRECASTELL"
"263","cy"
"264","YSGOL"
"265","gd"
"266","cy"
"267","MAWR"
"268","cy"
"269","CRAIG"
"270","en"
"271","fr"
"272","nl"
"273","CEI"
"274","pt"
"275","sr"
"276","cy"
"277","TREHINON"
"278","vo"
"279","ATHOL"
"280","sk"
"281","SCHOOL"
"282","en"
"283","nl"
"284","da"
"285","GARTH"
"286","en"
"287","ga"
"288","gd"
"289","GWELFOR"
"290","cy"
"291","QUAY"
"292","en"
"293","vi"
"294","TARW"
"295","cy"
"296","VICTORIA"
"297","en"
"298","es"
"299","pt"
"300","PARC"
"301","en"
"302","fr"
"303","ca"
"304","GALLT"
"305","cy"
"306","SGWAR"
"307","cy"
"308","PADRIG"
"309","cy"
"310","TYDDYN"
"311","cy"
"312","TRAETH"
"313","cy"
"314","BRYN"
"315","sv"
"316","da"
"317","no"
"318","TY"
"319","en"
"320","nl"
"321","vi"
"322","DDU"
"323","pl"
"324","cy"
"325","STRYD-Y-CAPEL"
"326","cy"
"327","MOR"
"328","es"
"329","pt"
"330","sl"
"331","YSTAD"
"332","pl"
"333","sv"
"334","da"
"335","UPPER"
"336","en"
"337","nl"
"338","pl"
"339","CYNFOR"
"340","da"
"341","TAN"
"342","en"
"343","es"
"344","fr"
"345","WYLAN"
"346","cy"
"347","LODGE"
"348","en"
"349","ESTATE"
"350","en"
"351","es"
"352","it"
"353","BONC"
"354","hu"
"355","cy"
"356","HEN"
"357","en"
"358","nl"
"359","vi"
"360","DON"
"361","en"
"362","es"
"363","pt"
"364","PORTH"
"365","cy"
"366","HILL"
"367","en"
"368","pt"
"369","nl"
"370","CLOS"
"371","en"
"372","fr"
"373","ga"
"374","GYRFA"
"375","cy"
"376","MADYN"
"377","cy"
"378","PARK"
"379","en"
"380","pt"
"381","de"
"382","GORWEL"
"383","cy"
"384","LINKS"
"385","en"
"386","pt"
"387","fr"
"388","AWELFRYN"
"389","cy"
"390","BRICKFIELD"
"391","en"
"392","DRIVE"
"393","en"
"394","pt"
"395","fr"
"396","PENYCEFN"
"397","id"
"398","EDNYFED"
"399","cy"
"400","GLORIAN"
"401","sv"
"402","cy"
"403","eu"
"404","GERAFON"
"405","en"
"406","PENIEL"
"407","pt"
"408","cy"
"409","FRON"
"410","de"
"411","gd"
"412","no"
"413","MAESLLWYN"
"414","cy"
"415","PARYS"
"416","pl"
"417","cy"
"418","KENSINGTON"
"419","pt"
"420","de"
"421","pl"
"422","BRYNGWYNT"
"423","cy"
"424","ODEN"
"425","de"
"426","nl"
"427","sv"
"428","PENTREFELIN"
"429","ro"
"430","WELL"
"431","en"
"432","nl"
"433","cy"
"434","WILLIAMS"
"435","en"
"436","MACHINE"
"437","en"
"438","pt"
"439","fr"
"440","GOCH"
"441","de"
"442","pl"
"443","cy"
"444","CROWN"
"445","en"
"446","it"
"447","pl"
"448","DINORBEN"
"449","cy"
"450","PEN-Y-SARN"
"451","pl"
"452","cy"
"453","en"
"454","LLEWELYN"
"455","cy"
"456","WESLEY"
"457","en"
"458","fr"
"459","nl"
"460","TYN"
"461","pl"
"462","no"
"463","cy"
"464","WENDON"
"465","cy"
"466","CLOSE"
"467","en"
"468","fr"
"469","nl"
"470","PETERSFIELD"
"471","en"
"472","GWYLFA"
"473","cy"
"474","DYSW"
"475","en"
"476","GARREG"
"477","cy"
"478","TRIGFA"
"479","cy"
"480","BRICS"
"481","ca"
"482","cy"
"483","SALEM"
"484","en"
"485","es"
"486","fr"
"487","RHOSFFORDD"
"488","cy"
"489","GLASFFORDD"
"490","cy"
"491","FARMER"
"492","en"
"493","de"
"494","nl"
"495","GARNEDD"
"496","cy"
"497","WELLINGTON"
"498","en"
"499","pt"
"500","fr"
"501","BUNGALOWS"
"502","en"
"503","es"
"504","fr"
"505","WATER"
"506","en"
"507","it"
"508","nl"
"509","WEN"
"510","en"
"511","de"
"512","nl"
"513","QUEENS"
"514","en"
"515","nl"
"516","pl"
"517","GREEN"
"518","en"
"519","es"
"520","fr"
"521","GOEDWIG"
"522","nl"
"523","cy"
"524","GAS"
"525","en"
"526","es"
"527","de"
"528","BRYNKIR"
"529","is"
"530","EFAIL"
"531","cy"
"532","CHERRY"
"533","en"
"534","fr"
"535","nl"
"536","LINCS"
"537","rm"
"538","HERBERT"
"539","en"
"540","pt"
"541","fr"
"542","SWN"
"543","cy"
"544","BWCLE"
"545","cy"
"546","WAUN"
"547","cy"
"548","AMLWCH"
"549","cy"
"550","PLAS"
"551","nl"
"552","pl"
"553","cy"
"554","NEW"
"555","en"
"556","fr"
"557","de"
"558","MYNYDD"
"559","cy"
"560","LLAIN"
"561","cy"
"562","TANYBRYN"
"563","cy"
"564","NEBO"
"565","en"
"566","pt"
"567","pl"
"568","DINGLE"
"569","en"
"570","da"
"571","no"
"572","RHOS"
"573","en"
"574","da"
"575","ca"
"576","FERN"
"577","en"
"578","de"
"579","cy"
"580","FARCHNAD"
"581","cy"
"582","ALAW"
"583","cy"
"584","BREEZE"
"585","en"
"586","cy"
"587","TECAF"
"588","cy"
"589","RHIANFA"
"590","cy"
"591","LLIDIART"
"592","cy"
"593","GARREGLWYD"
"594","cy"
"595","DAWEL"
"596","cy"
"597","PENRODYN"
"598","cy"
"599","MERDYN"
"600","br"
"601","BRONHEULOG"
"602","da"
"603","FRENHINES"
"604","cy"
"605","GLANRAFON"
"606","cy"
"607","TROS"
"608","nl"
"609","sl"
"610","sv"
"611","BRON"
"612","fr"
"613","nl"
"614","pl"
"615","FYNWENT"
"616","cy"
"617","MAETHLU"
"618","cy"
"619","STANLEY"
"620","en"
"621","pt"
"622","fr"
"623","LLWYD"
"624","cy"
"625","MANNING"
"626","en"
"627","nl"
"628","ga"
"629","ROSEHILL"
"630","et"
"631","YNYS"
"632","gd"
"633","cy"
"634","PONC"
"635","ga"
"636","cs"
"637","hu"
"638","SEIRIOL"
"639","cy"
"640","RHODFA"
"641","cy"
"642","ELETH"
"643","en"
"644","WERN"
"645","cy"
"646","MAESHYFRYD"
"647","cy"
"648","HYFRYD"
"649","cy"
"650","TAWELFAN"
"651","cy"
"652","COED"
"653","en"
"654","cy"
"655","PONT"
"656","fr"
"657","nl"
"658","pl"
"659","ONN"
"660","gd"
"661","no"
"662","cy"
"663","GROES"
"664","es"
"665","da"
"666","cy"
"667","TRE"
"668","pt"
"669","it"
"670","vi"
"671","CUHELYN"
"672","hu"
"673","BRICK"
"674","en"
"675","fr"
"676","nl"
"677","ATHEN"
"678","de"
"679","da"
"680","no"
"681","BRYNCIR"
"682","es"
"683","CEIDIO"
"684","cy"
"685","HENDRE"
"686","cy"
"687","CILGWYN"
"688","cy"
"689","FRYARS"
"690","no"
"691","ST"
"692","en"
"693","pl"
"694","cs"
"695","DIRION"
"696","cy"
"697","HAMPTON"
"698","en"
"699","de"
"700","pl"
"701","GORONWY"
"702","cy"
"703","BURTON"
"704","en"
"705","nl"
"706","pl"
"707","FADOG"
"708","cy"
"709","BANGOR"
"710","en"
"711","gd"
"712","cy"
"713","GRAIG"
"714","cy"
"715","TAI"
"716","en"
"717","pt"
"718","de"
"719","HOUSES"
"720","en"
"721","fr"
"722","nl"
"723","CAER"
"724","es"
"725","ROEBUCK"
"726","en"
"727","YSGAWEN"
"728","na"
"729","BRYNTEG"
"730","cy"
"731","IOLYN"
"732","cy"
"733","FRONHEULOG"
"734","da"
"735","SIRIOL"
"736","cy"
"737","ISCOED"
"738","CALI"
"739","en"
"740","es"
"741","pt"
"742","GERDDI"
"743","cy"
"744","LLYNNON"
"745","cy"
"746","STEEPLE"
"747","en"
"748","fr"
"749","COCH"
"750","cy"
"751","RATING"
"752","en"
"753","fr"
"754","de"
"755","CYNLAS"
"756","cy"
"757","THOMAS"
"758","en"
"759","pt"
"760","fr"
"761","GOLEU"
"762","cy"
"763","GAOL"
"764","en"
"765","ga"
"766","gd"
"767","BAPTIST"
"768","en"
"769","de"
"770","nl"
"771","ADDA"
"772","tr"
"773","it"
"774","nl"
"775","PENNANT"
"776","en"
"777","cy"
"778","NEWLANDS"
"779","sco"
"780","ABER"
"781","pt"
"782","fr"
"783","de"
"784","LITTLE"
"785","en"
"786","pl"
"787","da"
"788","TWRCELYN"
"789","en"
"790","ARNOLD"
"791","en"
"792","pt"
"793","fr"
"794","RHOSYN"
"795","cy"
"796","GWYNEDD"
"797","cy"
"798","BUNKERS"
"799","en"
"800","fr"
"801","de"
"802","MACHRAETH"
"803","cy"
"804","MARGARET"
"805","en"
"806","fr"
"807","nl"
"808","FFERAM"
"809","cy"
"810","ROSEMARY"
"811","en"
"812","nl"
"813","pl"
"814","PENMON"
"815","cy"
"816","RAGLAN"
"817","en"
"818","fr"
"819","it"
"820","CONWY"
"821","cy"
"822","BRIG"
"823","en"
"824","de"
"825","cs"
"826","LLYDAN"
"827","cy"
"828","PERTH"
"829","en"
"830","fr"
"831","de"
"832","GADLYS"
"833","cy"
"834","PENRHYN"
"835","gv"
"836","PENCRAIG"
"837","id"
"838","THELWAL"
"839","sq"
"840","MILL"
"841","en"
"842","fr"
"843","nl"
"844","GOGARTH"
"845","cy"
"846","ISGRAIG"
"847","ga"
"848","BYCHAN"
"849","cy"
"850","LLAWR"
"851","cy"
"852","CORON"
"853","fr"
"854","gd"
"855","ca"
"856","EDEYRN"
"857","gv"
"858","INDUSTRIAL"
"859","en"
"860","es"
"861","pt"
"862","GWYNFA"
"863","cy"
"864","BRYNIAU"
"865","cy"
"866","PENDYFFRYN"
"867","cy"
"868","SEWAGE"
"869","en"
"870","CARREG"
"871","ca"
"872","cy"
"873","AFON"
"874","ca"
"875","cy"
"876","GWEL"
"877","cy"
"878","PENCAE"
"879","id"
"880","MORYD"
"881","cy"
"882","GLYN"
"883","cy"
"884","is"
"885","PENLON"
"886","cy"
"887","MORLEY"
"888","en"
"889","fr"
"890","ga"
"891","GILFACH"
"892","cy"
"893","AVENUE"
"894","en"
"895","fr"
"896","nl"
"897","GARDENER"
"898","en"
"899","CIL"
"900","fr"
"901","cs"
"902","cy"
"903","PATH"
"904","en"
"905","gd"
"906","TREM"
"907","pt"
"908","pl"
"909","sl"
"910","SHORNEY"
"911","en"
"912","CORONATION"
"913","en"
"914","RHYD"
"915","cy"
"916","COEDIOG"
"917","cy"
"918","BRYNAFON"
"919","is"
"920","BODOWEN"
"921","pl"
"922","HYWEL"
"923","cy"
"924","MALLTRAETH"
"925","cy"
"926","ISAF"
"927","de"
"928","nl"
"929","pl"
"930","BRYNSIENCYN"
"931","cy"
"932","LWYD"
"933","cy"
"934","MARINE"
"935","en"
"936","es"
"937","pt"
"938","PAUN"
"939","sr"
"940","cy"
"941","et"
"942","LONDON"
"943","en"
"944","de"
"945","gd"
"946","BRENIN"
"947","cy"
"948","STATION"
"949","en"
"950","fr"
"951","de"
"952","IFAN"
"953","cy"
"954","KINGSLAND"
"955","et"
"956","CELYN"
"957","cy"
"958","PRINCE"
"959","en"
"960","pt"
"961","fr"
"962","GERAINT"
"963","cy"
"964","WALTHEW"
"965","kha"
"966","FFINAN"
"967","cy"
"968","SOUTH"
"969","en"
"970","it"
"971","pl"
"972","CYTTIR"
"973","is"
"974","GREPACH"
"975","cy"
"976","WAY"
"977","en"
"978","pl"
"979","gd"
"980","CYMRAN"
"981","cy"
"982","PENRHOS"
"983","cy"
"984","ORSEDD"
"985","cy"
"986","DELYN"
"987","cy"
"988","PORTHDAFARCH"
"989","en"
"990","RAVENSPOINT"
"991","en"
"992","BREAKWATER"
"993","en"
"994","nl"
"995","AUR"
"996","pl"
"997","cs"
"998","sk"
"999","END"
"1000","en"
"1001","it"
"1002","nl"
"1003","SEABOURNE"
"1004","da"
"1005","TEG"
"1006","sv"
"1007","sr"
"1008","cy"
"1009","MIN"
"1010","en"
"1011","pt"
"1012","de"
"1013","MEURIG"
"1014","cy"
"1015","MORAWELON"
"1016","br"
"1017","MEIGAN"
"1018","en"
"1019","VICARAGE"
"1020","gv"
"1021","PANDY"
"1022","pl"
"1023","cs"
"1024","sk"
"1025","NEWRY"
"1026","en"
"1027","BRYNGOLEU"
"1028","cy"
"1029","BATUS"
"1030","lt"
"1031","eo"
"1032","DEVONALD"
"1033","en"
"1034","ROW"
"1035","en"
"1036","pl"
"1037","HIBERNIA"
"1038","en"
"1039","eu"
"1040","TIRION"
"1041","nl"
"1042","cy"
"1043","et"
"1044","NORTH"
"1045","en"
"1046","it"
"1047","ga"
"1048","MOUNT"
"1049","en"
"1050","de"
"1051","nl"
"1052","TUDUR"
"1053","cy"
"1054","LOWER"
"1055","en"
"1056","DRUID"
"1057","en"
"1058","pl"
"1059","ga"
"1060","DOLAFON"
"1061","sm"
"1062","GEORGE"
"1063","en"
"1064","pt"
"1065","fr"
"1066","HIR"
"1067","tr"
"1068","sr"
"1069","hu"
"1070","FORGE"
"1071","en"
"1072","fr"
"1073","it"
"1074","PAEN"
"1075","cy"
"1076","eu"
"1077","ASKEW"
"1078","en"
"1079","MAIR"
"1080","pt"
"1081","ga"
"1082","gd"
"1083","ARMENIA"
"1084","en"
"1085","es"
"1086","it"
"1087","CYBI"
"1088","cy"
"1089","UXBRIDGE"
"1090","en"
"1091","WOOD"
"1092","en"
"1093","pl"
"1094","ga"
"1095","CROSS"
"1096","en"
"1097","es"
"1098","fr"
"1099","DINAS"
"1100","es"
"1101","pt"
"1102","sk"
"1103","WATERSIDE"
"1104","en"
"1105","CAMBRIA"
"1106","en"
"1107","CEUNANT"
"1108","cy"
"1109","LLECH"
"1110","cy"
"1111","WAENFAWR"
"1112","cy"
"1113","DREF"
"1114","cy"
"1115","LLAINGOCH"
"1116","cy"
"1117","PENLAN"
"1118","cy"
"1119","WAEN"
"1120","bi"
"1121","HWFA"
"1122","cy"
"1123","BOSTON"
"1124","en"
"1125","pt"
"1126","fr"
"1127","LLIFON"
"1128","cy"
"1129","FFYNNON"
"1130","cy"
"1131","SWIFT"
"1132","en"
"1133","pl"
"1134","ga"
"1135","GELACH"
"1136","nl"
"1137","CWTA"
"1138","cy"
"1139","TREARDDUR"
"1140","cy"
"1141","DUON"
"1142","sv"
"1143","cy"
"1144","eo"
"1145","TOWER"
"1146","en"
"1147","de"
"1148","pl"
"1149","GWYNT"
"1150","cy"
"1151","TREFONNEN"
"1152","cy"
"1153","ERYRI"
"1154","cy"
"1155","BRITISH"
"1156","en"
"1157","pt"
"1158","pl"
"1159","HIRFRON"
"1160","cy"
"1161","HAUL"
"1162","en"
"1163","cy"
"1164","UCHELDRE"
"1165","cy"
"1166","MEWS"
"1167","en"
"1168","pl"
"1169","BARRAS"
"1170","es"
"1171","pt"
"1172","fr"
"1173","AWELON"
"1174","ve"
"1175","AWEL"
"1176","nl"
"1177","cy"
"1178","VULCAN"
"1179","en"
"1180","GAMFA"
"1181","cy"
"1182","TURKEY"
"1183","en"
"1184","de"
"1185","nl"
"1186","RALLT"
"1187","lb"
"1188","EDMUND"
"1189","en"
"1190","pt"
"1191","fr"
"1192","GODRAR"
"1193","sv"
"1194","HAFOD"
"1195","cy"
"1196","GWEITHDY"
"1197","cy"
"1198","SUNRISE"
"1199","en"
"1200","et"
"1201","BWLCH"
"1202","cy"
"1203","DELFRYN"
"1204","cy"
"1205","HEULOG"
"1206","cy"
"1207","PEIBIO"
"1208","et"
"1209","MOSTYN"
"1210","cy"
"1211","ROCK"
"1212","en"
"1213","es"
"1214","pt"
"1215","TYSILIO"
"1216","cy"
"1217","ROBERTS"
"1218","en"
"1219","fr"
"1220","de"
"1221","MENAI"
"1222","pt"
"1223","fr"
"1224","it"
"1225","HARBOUR"
"1226","en"
"1227","NICHOLAS"
"1228","de"
"1229","TO"
"1230","en"
"1231","es"
"1232","pt"
"1233","LONGFORD"
"1234","en"
"1235","FYNNON"
"1236","cy"
"1237","PRIORY"
"1238","en"
"1239","sk"
"1240","ENGAN"
"1241","no"
"1242","ca"
"1243","is"
"1244","PUMP"
"1245","en"
"1246","de"
"1247","nl"
"1248","LHASSA"
"1249","rm"
"1250","MAELOG"
"1251","cy"
"1252","KEFFI"
"1253","ha"
"1254","1"
"1255","HOLBORN"
"1256","da"
"1257","2"
"1258","NIMROD"
"1259","en"
"1260","de"
"1261","nl"
"1262","FFRAID"
"1263","cy"
"1264","LLANFAWR"
"1265","cy"
"1266","ISALLT"
"1267","lb"
"1268","MAES-YR-YSGOL"
"1269","cy"
"1270","SPENCER"
"1271","en"
"1272","pt"
"1273","fr"
"1274","ROLAND"
"1275","en"
"1276","fr"
"1277","de"
"1278","PANT"
"1279","en"
"1280","pl"
"1281","cs"
"1282","LEONARD"
"1283","en"
"1284","pt"
"1285","nl"
"1286","OLD"
"1287","en"
"1288","nl"
"1289","pl"
"1290","CRECRIST"
"1291","es"
"1292","HEDSOR"
"1293","sv"
"1294","RONWY"
"1295","cy"
"1296","WIAN"
"1297","pl"
"1298","REFAIL"
"1299","et"
"1300","PLASHYFRYD"
"1301","cy"
"1302","PENTRACHA"
"1303","ro"
"1304","TRESEIFION"
"1305","cy"
"1306","MARCHOG"
"1307","cy"
"1308","MORETON"
"1309","eo"
"1310","CECIL"
"1311","en"
"1312","nl"
"1313","pl"
"1314","HEDD"
"1315","cy"
"1316","KINGS"
"1317","en"
"1318","nl"
"1319","da"
"1320","HAF"
"1321","tr"
"1322","nl"
"1323","pl"
"1324","GILBERT"
"1325","en"
"1326","es"
"1327","fr"
"1328","VIEW"
"1329","en"
"1330","nl"
"1331","da"
"1332","CLEVELAND"
"1333","en"
"1334","pt"
"1335","fr"
"1336","DDWR"
"1337","cy"
"1338","HENRY"
"1339","en"
"1340","es"
"1341","pt"
"1342","PLACE"
"1343","en"
"1344","es"
"1345","fr"
"1346","TARA"
"1347","en"
"1348","es"
"1349","pt"
"1350","DIGNEY"
"1351","gv"
"1352","SERRI"
"1353","it"
"1354","ca"
"1355","GARDEN"
"1356","en"
"1357","de"
"1358","sv"
"1359","GARDENS"
"1360","en"
"1361","sv"
"1362","da"
"1363","LEWASCOTE"
"1364","de"
"1365","MORRISON"
"1366","en"
"1367","de"
"1368","nl"
"1369","DOMAS"
"1370","es"
"1371","pt"
"1372","lt"
"1373","TAN-YR-EFAIL"
"1374","cy"
"1375","ARTHUR"
"1376","en"
"1377","pt"
"1378","fr"
"1379","CLIFTON"
"1380","en"
"1381","fr"
"1382","nl"
"1383","YR"
"1384","en"
"1385","sv"
"1386","no"
"1387","PLEASANT"
"1388","en"
"1389","BEIBIO"
"1390","nso"
"1391","HUNTERS"
"1392","en"
"1393","nl"
"1394","sr"
"1395","BANK"
"1396","en"
"1397","de"
"1398","sl"
"1399","SNOWDON"
"1400","en"
"1401","ALLTRAN"
"1402","sv"
"1403","PENRALLT"
"1404","cy"
"1405","FLATS"
"1406","en"
"1407","nl"
"1408","ca"
"1409","TAIR"
"1410","cy"
"1411","RHENYSGOL"
"1412","cy"
"1413","WYNFA"
"1414","cy"
"1415","COPPERFIELD"
"1416","en"
"1417","PENCLIP"
"1418","id"
"1419","WALK"
"1420","en"
"1421","nl"
"1422","pl"
"1423","HEOL"
"1424","ga"
"1425","cy"
"1426","CAEAU"
"1427","cy"
"1428","BRAENAR"
"1429","cy"
"1430","RAVENS"
"1431","en"
"1432","nl"
"1433","da"
"1434","CYNAN"
"1435","cy"
"1436","CRESCENT"
"1437","en"
"1438","ca"
"1439","CRIGYLL"
"1440","gv"
"1441","COLEG"
"1442","cy"
"1443","HIRNOS"
"1444","cy"
"1445","CEFN"
"1446","cy"
"1447","WARREN"
"1448","en"
"1449","fr"
"1450","nl"
"1451","FFAIR"
"1452","cy"
"1453","FEURIG"
"1454","de"
"1455","cy"
"1456","SANDY"
"1457","en"
"1458","fr"
"1459","nl"
"1460","PACED"
"1461","en"
"1462","es"
"1463","cy"
"1464","JASPER"
"1465","en"
"1466","fr"
"1467","de"
"1468","OVERSTRAND"
"1469","da"
"1470","no"
"1471","EAST"
"1472","en"
"1473","pl"
"1474","gd"
"1475","REHOBOTH"
"1476","ca"
"1477","ADAMS"
"1478","en"
"1479","pt"
"1480","fr"
"1481","OGOF"
"1482","cy"
"1483","SISIAL"
"1484","cy"
"1485","HARRISON"
"1486","en"
"1487","de"
"1488","nl"
"1489","1"
"1490","GEIRIOL"
"1491","cy"
"1492","GER"
"1493","en"
"1494","es"
"1495","tr"
"1496","2"
"1497","CHASE"
"1498","en"
"1499","fr"
"1500","ga"
"1501","GAERWEN"
"1502","cy"
"1503","RISE"
"1504","en"
"1505","it"
"1506","sl"
"1507","SAITH"
"1508","en"
"1509","gd"
"1510","cy"
"1511","LLETY"
"1512","cy"
"1513","POST"
"1514","en"
"1515","pt"
"1516","fr"
"1517","CEDRIC"
"1518","en"
"1519","de"
"1520","nl"
"1521","CHELFORD"
"1522","en"
"1523","LLANFEIRIAN"
"1524","cy"
"1525","BRADWEN"
"1526","ak"
"1527","LAKESIDE"
"1528","en"
"1529","et"
"1530","CARADOC"
"1531","bi"
"1532","BODFAIR"
"1533","ga"
"1534","EITHIN"
"1535","cy"
"1536","MERDDYN"
"1537","cy"
"1538","GOFAL"
"1539","cy"
"1540","BRONLLYS"
"1541","cy"
"1542","LLECHI"
"1543","cy"
"1544","BRYNTIRION"
"1545","cy"
"1546","STABLAU"
"1547","cy"
"1548","GLASGOED"
"1549","en"
"1550","CLOC"
"1551","es"
"1552","gd"
"1553","ca"
"1554","ARGRAIG"
"1555","et"
"1556","FAELOG"
"1557","cy"
"1558","DAVID"
"1559","en"
"1560","es"
"1561","pt"
"1562","SANDS"
"1563","en"
"1564","de"
"1565","ga"
"1566","RHUN"
"1567","cy"
"1568","GLASFOR"
"1569","da"
"1570","LATHEN"
"1571","cy"
"1572","RHODDFA"
"1573","cy"
"1574","CREIGAR"
"1575","no"
"1576","PENDREF"
"1577","cy"
"1578","TEIFION"
"1579","cy"
"1580","GORPHWYSFA"
"1581","eu"
"1582","GAD"
"1583","en"
"1584","pl"
"1585","ga"
"1586","AEL"
"1587","pt"
"1588","cy"
"1589","BERTH"
"1590","en"
"1591","cy"
"1592","RHENC"
"1593","cy"
"1594","CRUD"
"1595","en"
"1596","cy"
"1597","WENNOL"
"1598","cy"
"1599","TALDRWST"
"1600","eu"
"1601","CNYCIOG"
"1602","cy"
"1603","CILFACH"
"1604","cy"
"1605","DRYLL"
"1606","cy"
"1607","BRAS"
"1608","en"
"1609","fr"
"1610","da"
"1611","ABERBRAINT"
"1612","en"
"1613","FACH"
"1614","de"
"1615","pl"
"1616","sk"
"1617","ADWYR"
"1618","cy"
"1619","ELLEN"
"1620","en"
"1621","fr"
"1622","de"
"1623","AELWYD"
"1624","cy"
"1625","LLANGEFNI"
"1626","cy"
"1627","CROES"
"1628","es"
"1629","nl"
"1630","cy"
"1631","ARFON"
"1632","ga"
"1633","gd"
"1634","cy"
"1635","HEDYDD"
"1636","cy"
"1637","ATLANTIC"
"1638","en"
"1639","pl"
"1640","gd"
"1641","AWELFOR"
"1642","ve"
"1643","WHISPERING"
"1644","en"
"1645","RHIANNON"
"1646","cy"
"1647","BETTYN"
"1648","en"
"1649","BODIOR"
"1650","la"
"1651","BROR"
"1652","sv"
"1653","da"
"1654","no"
"1655","ORCHARD"
"1656","en"
"1657","CEFNI"
"1658","cy"
"1659","ANGHARAD"
"1660","cy"
"1661","CLAI"
"1662","cy"
"1663","GWENLLIAN"
"1664","cy"
"1665","CWR"
"1666","cy"
"1667","DEW"
"1668","en"
"1669","cy"
"1670","GOF"
"1671","cy"
"1672","DOL"
"1673","en"
"1674","pt"
"1675","fr"
"1676","FAIR"
"1677","en"
"1678","de"
"1679","nl"
"1680","MEILIR"
"1681","cy"
"1682","DDERWEN"
"1683","cy"
"1684","FORCER"
"1685","en"
"1686","fr"
"1687","da"
"1688","GWNA"
"1689","cy"
